ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,
1552041778,Jane Doe,R. J. Kaiser,1999,Mira Books,
440234743,The Testament,John Grisham,1999,Dell,
887841740,The Middle Stories,Sheila Heti,2004,House of Anansi Press,
971880107,Wild Animus,Rich Shapero,2004,Too Far,
345402871,Airframe,Michael Crichton,1997,Ballantine Books,
345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books,
425163091,Chocolate Jesus,Stephan Jaramillo,1998,Berkley Publishing Group,
446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company,
375759778,Prague : A Novel,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks,
553582747,From the Corner of His Eye,Dean Koontz,2001,Bantam Books,
156047624,All the King's Men,Robert Penn Warren,1982,Harvest Books,
316769487,The Catcher in the Rye,J.D. Salinger,1991,Little, Brown
312261594,Female Intelligence,Jane Heller,2001,St. Martin's Press,
553347594,McDonald's: Behind the Arches,John F. Love,1995,Bantam,
451206673,Pen Pals,Olivia Goldsmith,2002,Signet Book,
316602906,The Big Bad Wolf: A Novel,James Patterson,2003,Little, Brown
151008116,Life of Pi,Yann Martel,2002,Harcourt,
684833395,Catch 22,Joseph Heller,1996,Simon &amp; Schuster,
812541642,Waiting,Frank M. Robinson,2000,Tor Books,
1573228737,Affinity,Sarah Waters,2002,Riverhead Books,
891091963,Inside out,Lawrence J Crabb,1988,NavPress,
743424425,The Shining,Stephen King,2001,Pocket,
385504209,The Da Vinci Code,Dan Brown,2003,Doubleday,
140042393,The Grapes of Wrath,John Steinbeck,1976,Penguin USA,
345370775,Jurassic Park,Michael Crichton,1999,Ballantine Books,
380018179,The Thorn Birds,Colleen McCullough,1978,Avon,
385510438,The Last Juror,John Grisham,2004,Doubleday,
671527215,Hitchhikers's Guide to the Galaxy,Douglas Adams,1984,Pocket,
671708635,Seven Habits Of Highly Effective People,Stephen R. Covey,1990,Free Press,
